module,class_name,node_id,iso_class,iso_node_id
nodes_veo2,VeoVideoGenerationNode,VeoVideoGenerationNode,VeoVideoGenerationNode_ISO,VeoVideoGenerationNode_ISO
nodes_veo2,Veo3VideoGenerationNode,Veo3VideoGenerationNode,Veo3VideoGenerationNode_ISO,Veo3VideoGenerationNode_ISO
nodes_veo2,Veo3FirstLastFrameNode,Veo3FirstLastFrameNode,Veo3FirstLastFrameNode_ISO,Veo3FirstLastFrameNode_ISO
nodes_vidu,ViduTextToVideoNode,ViduTextToVideoNode,ViduTextToVideoNode_ISO,ViduTextToVideoNode_ISO
nodes_vidu,ViduImageToVideoNode,ViduImageToVideoNode,ViduImageToVideoNode_ISO,ViduImageToVideoNode_ISO
nodes_vidu,ViduReferenceVideoNode,ViduReferenceVideoNode,ViduReferenceVideoNode_ISO,ViduReferenceVideoNode_ISO
nodes_vidu,ViduStartEndToVideoNode,ViduStartEndToVideoNode,ViduStartEndToVideoNode_ISO,ViduStartEndToVideoNode_ISO
nodes_wan,WanTextToImageApi,WanTextToImageApi,WanTextToImageApi_ISO,WanTextToImageApi_ISO
nodes_wan,WanImageToImageApi,WanImageToImageApi,WanImageToImageApi_ISO,WanImageToImageApi_ISO
nodes_wan,WanTextToVideoApi,WanTextToVideoApi,WanTextToVideoApi_ISO,WanTextToVideoApi_ISO
nodes_wan,WanImageToVideoApi,WanImageToVideoApi,WanImageToVideoApi_ISO,WanImageToVideoApi_ISO
